epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1267.22,3.00039,3.04969,1.72586,3e-05,0.00013,2e-05,0,3.4721,3.01819,1.56893,0.000612981,0.000612981,0.000612981
45,1296.01,2.96731,3.00649,1.72483,0.00347,0.00013,5e-05,0,3.54991,3.27298,1.59545,0.000597754,0.000597754,0.000597754
46,1324.74,2.93846,3.00534,1.71899,0.00015,0.00013,3e-05,1e-05,3.40336,3.18643,1.49977,0.000582435,0.000582435,0.000582435
47,1353.47,2.95613,3.01611,1.72085,2e-05,6e-05,1e-05,0,3.45116,3.03442,1.54072,0.00056704,0.00056704,0.00056704
48,1382.1,2.93168,3.00986,1.6978,0.00126,6e-05,5e-05,1e-05,3.54064,3.08478,1.58617,0.000551584,0.000551584,0.000551584
49,1410.92,2.94042,2.98993,1.70602,5e-05,0.00019,3e-05,1e-05,3.37734,2.93705,1.5069,0.000536081,0.000536081,0.000536081
50,1439.46,2.94481,3.00599,1.69999,7e-05,0.00025,4e-05,1e-05,3.44091,3.04093,1.51683,0.000520548,0.000520548,0.000520548
51,1467.88,2.92269,2.98583,1.71393,5e-05,0.00019,3e-05,1e-05,3.45683,3.01021,1.50939,0.000505,0.000505,0.000505
52,1496.77,2.91499,2.95241,1.68101,0.00282,6e-05,5e-05,1e-05,3.49133,2.96341,1.58936,0.000489452,0.000489452,0.000489452
53,1525.45,2.9404,2.98499,1.69638,3e-05,0.00013,2e-05,1e-05,3.45484,2.94131,1.52007,0.000473919,0.000473919,0.000473919
54,1554.28,2.87904,2.96029,1.67221,3e-05,0.00013,2e-05,0,3.37807,3.06617,1.47456,0.000458416,0.000458416,0.000458416
55,1583.07,2.90339,2.95388,1.66991,0.00187,6e-05,4e-05,1e-05,3.4185,2.8943,1.53381,0.00044296,0.00044296,0.00044296
56,1611.76,2.89073,2.92498,1.68619,0.00135,6e-05,3e-05,0,3.47776,2.91615,1.57872,0.000427565,0.000427565,0.000427565
57,1640.39,2.87723,2.9165,1.67617,0.00187,6e-05,4e-05,1e-05,3.509,3.11139,1.55885,0.000412246,0.000412246,0.000412246
58,1669.22,2.89944,2.93348,1.65189,0.00237,6e-05,5e-05,1e-05,3.45177,2.91257,1.55228,0.000397019,0.000397019,0.000397019
59,1697.82,2.87604,2.92317,1.66715,3e-05,0.00013,2e-05,0,3.36554,2.84284,1.49705,0.000381899,0.000381899,0.000381899
60,1726.28,2.89129,2.90572,1.64701,0.00072,6e-05,4e-05,1e-05,3.38875,2.84257,1.49061,0.000366899,0.000366899,0.000366899
61,1754.98,2.89265,2.92821,1.66134,0.00211,6e-05,3e-05,0,3.36757,2.84845,1.50648,0.000352037,0.000352037,0.000352037
62,1784.12,2.86559,2.91106,1.65369,5e-05,0.00019,3e-05,0,3.39403,2.90532,1.48761,0.000337325,0.000337325,0.000337325
