epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,384.482,1.29616,3.32977,1.57521,0.43933,0.01165,0.01518,0.00775,1.66962,3.84059,1.65131,0.007921,0.007921,0.007921
44,393.321,1.22725,3.16483,1.5391,0.43577,0.01209,0.01675,0.00861,1.64288,3.45485,1.593,0.0078715,0.0078715,0.0078715
45,402.01,1.21787,3.14117,1.54322,0.38403,0.01203,0.01522,0.00735,1.70982,3.69545,1.65354,0.007822,0.007822,0.007822
46,410.761,1.22656,3.10703,1.53281,0.31314,0.01134,0.0134,0.00726,1.70579,4.20224,1.6789,0.0077725,0.0077725,0.0077725
47,419.621,1.24166,3.136,1.52635,0.31634,0.01064,0.01251,0.0075,1.55554,4.10855,1.57328,0.007723,0.007723,0.007723
48,428.51,1.23323,3.15407,1.52993,0.4722,0.01203,0.01698,0.00898,1.56216,3.39744,1.48756,0.0076735,0.0076735,0.0076735
49,437.186,1.22937,3.19836,1.52166,0.33163,0.01266,0.01637,0.00939,1.53151,3.50038,1.52786,0.007624,0.007624,0.007624
50,446.224,1.23941,3.11114,1.55104,0.43171,0.01228,0.01625,0.00847,1.64707,3.53459,1.60752,0.0075745,0.0075745,0.0075745
51,455.025,1.19947,3.07057,1.53364,0.46118,0.01222,0.01678,0.0087,1.55195,3.32016,1.53029,0.007525,0.007525,0.007525
52,464.241,1.20176,3.04987,1.52101,0.35762,0.01165,0.01527,0.00838,1.65731,3.70577,1.67859,0.0074755,0.0074755,0.0074755
53,473.012,1.24037,3.12578,1.53046,0.41063,0.01222,0.01622,0.00837,1.62055,3.43776,1.57554,0.007426,0.007426,0.007426
54,481.911,1.23028,3.11167,1.53412,0.40382,0.01121,0.01546,0.00864,1.62245,3.79275,1.5932,0.0073765,0.0073765,0.0073765
55,490.818,1.22546,3.14522,1.53472,0.35481,0.0126,0.01662,0.00913,1.59935,3.53992,1.56236,0.007327,0.007327,0.007327
56,499.725,1.2005,3.11498,1.52464,0.48177,0.01159,0.016,0.00811,1.65952,3.644,1.62824,0.0072775,0.0072775,0.0072775
57,508.629,1.22942,3.16698,1.54176,0.41286,0.01222,0.01686,0.00908,1.54242,3.37741,1.53968,0.007228,0.007228,0.007228
58,517.556,1.1948,3.02954,1.50619,0.34904,0.0126,0.01654,0.01006,1.42216,3.34199,1.46082,0.0071785,0.0071785,0.0071785
59,526.449,1.21183,3.0788,1.51088,0.33939,0.01197,0.01605,0.00892,1.50626,3.48504,1.50292,0.007129,0.007129,0.007129
60,535.342,1.20988,2.97336,1.51898,0.39728,0.01171,0.01571,0.00916,1.54757,3.62642,1.48742,0.0070795,0.0070795,0.0070795
61,544.202,1.21059,3.11518,1.51492,0.35807,0.01253,0.01638,0.00917,1.57511,3.56884,1.51246,0.00703,0.00703,0.00703
62,553.218,1.17385,2.97904,1.46767,0.44922,0.01234,0.0167,0.00977,1.55481,3.29048,1.5265,0.0069805,0.0069805,0.0069805
63,562.03,1.19683,2.99504,1.4827,0.41388,0.01209,0.01663,0.00998,1.41224,3.37179,1.45263,0.006931,0.006931,0.006931
64,570.835,1.20025,2.98952,1.49648,0.4208,0.01234,0.01728,0.00993,1.52167,3.26243,1.47968,0.0068815,0.0068815,0.0068815
65,579.647,1.17591,2.93375,1.46584,0.48229,0.01184,0.01727,0.00936,1.53273,3.22609,1.51338,0.006832,0.006832,0.006832
66,588.553,1.16915,2.84014,1.47439,0.45752,0.01259,0.01702,0.0105,1.39408,3.04736,1.38835,0.0067825,0.0067825,0.0067825
67,597.507,1.20092,3.01928,1.49252,0.41066,0.01253,0.01664,0.01054,1.4045,3.16872,1.40649,0.006733,0.006733,0.006733
68,606.493,1.19335,3.0002,1.48035,0.45382,0.01197,0.01656,0.01063,1.45547,3.32864,1.4402,0.0066835,0.0066835,0.0066835
69,615.44,1.17084,2.92007,1.46122,0.49934,0.01222,0.01721,0.01068,1.42948,3.23365,1.39179,0.006634,0.006634,0.006634
70,624.474,1.15519,2.82374,1.45899,0.55884,0.01178,0.01685,0.00974,1.60328,3.30057,1.56093,0.0065845,0.0065845,0.0065845
71,633.359,1.16581,2.91415,1.4675,0.48,0.01203,0.01648,0.00914,1.47606,3.24942,1.48002,0.006535,0.006535,0.006535
72,642.298,1.18404,2.897,1.47612,0.35089,0.01285,0.01698,0.0102,1.40769,3.12642,1.41356,0.0064855,0.0064855,0.0064855
73,651.176,1.16914,2.85104,1.46365,0.50875,0.01228,0.01758,0.01041,1.51737,3.13595,1.48087,0.006436,0.006436,0.006436
74,660.112,1.17515,2.87586,1.47283,0.41184,0.01247,0.01678,0.01069,1.34136,3.13629,1.34486,0.0063865,0.0063865,0.0063865
75,669.011,1.15556,2.86098,1.46392,0.44947,0.01234,0.01774,0.01035,1.4483,3.07064,1.41745,0.006337,0.006337,0.006337
76,677.942,1.16619,2.87183,1.47655,0.49519,0.01266,0.01823,0.01184,1.37184,2.99024,1.36658,0.0062875,0.0062875,0.0062875
77,686.78,1.14692,2.85121,1.45143,0.49368,0.01247,0.01782,0.01012,1.46946,3.007,1.42604,0.006238,0.006238,0.006238
78,695.542,1.13813,2.77746,1.44219,0.5605,0.01228,0.01807,0.01129,1.3662,3.01433,1.38529,0.0061885,0.0061885,0.0061885
79,704.418,1.14423,2.80612,1.4494,0.46948,0.0114,0.01691,0.00947,1.57848,3.39236,1.55251,0.006139,0.006139,0.006139
80,712.947,1.13185,2.79943,1.4256,0.50515,0.01209,0.0176,0.01073,1.36764,2.9207,1.36455,0.0060895,0.0060895,0.0060895
81,721.666,1.12751,2.80009,1.43607,0.53658,0.01215,0.01727,0.01075,1.39228,3.26756,1.36138,0.00604,0.00604,0.00604
82,730.622,1.15496,2.80577,1.45272,0.46219,0.01197,0.01736,0.00927,1.53316,3.36595,1.49947,0.0059905,0.0059905,0.0059905
83,739.555,1.13984,2.79261,1.42906,0.44858,0.01241,0.01686,0.01045,1.37564,3.15338,1.34809,0.005941,0.005941,0.005941
84,748.515,1.12016,2.7693,1.43391,0.46334,0.01215,0.01744,0.0107,1.45363,3.10986,1.42672,0.0058915,0.0058915,0.0058915
85,757.413,1.10916,2.77812,1.4192,0.55054,0.01222,0.01733,0.01097,1.33517,2.97735,1.36041,0.005842,0.005842,0.005842
86,766.465,1.15174,2.82355,1.45376,0.4092,0.01222,0.01718,0.01047,1.371,3.13535,1.3572,0.0057925,0.0057925,0.0057925
87,775.068,1.08651,2.65487,1.40139,0.54171,0.01234,0.01811,0.01158,1.3802,2.83612,1.38819,0.005743,0.005743,0.005743
88,783.98,1.13068,2.72817,1.44625,0.51548,0.01234,0.01805,0.01116,1.44521,2.98955,1.44457,0.0056935,0.0056935,0.0056935
89,792.805,1.11604,2.71533,1.41823,0.68069,0.01228,0.01802,0.01095,1.44621,2.86731,1.43842,0.005644,0.005644,0.005644
90,801.742,1.0859,2.64195,1.39886,0.45633,0.01184,0.01754,0.01081,1.39686,3.22538,1.41698,0.0055945,0.0055945,0.0055945
91,810.6,1.12846,2.77692,1.43593,0.51137,0.01239,0.01762,0.01105,1.33604,2.96836,1.3208,0.005545,0.005545,0.005545
92,819.576,1.12024,2.70005,1.41385,0.58201,0.01197,0.01748,0.01056,1.42325,3.06839,1.41865,0.0054955,0.0054955,0.0054955
93,828.678,1.10426,2.6492,1.4003,0.53659,0.01228,0.0175,0.01119,1.30407,2.85277,1.32038,0.005446,0.005446,0.005446
94,837.565,1.08999,2.60388,1.3876,0.54372,0.01228,0.01836,0.01156,1.34192,2.84249,1.34489,0.0053965,0.0053965,0.0053965
95,846.474,1.08081,2.59429,1.38054,0.62995,0.0119,0.01797,0.01113,1.41164,2.97705,1.37985,0.005347,0.005347,0.005347
96,855.345,1.08142,2.64444,1.40961,0.52578,0.01178,0.01772,0.01063,1.38633,3.03531,1.40902,0.0052975,0.0052975,0.0052975
97,864.045,1.06526,2.56476,1.37605,0.55658,0.01228,0.01774,0.01157,1.32367,2.89029,1.3399,0.005248,0.005248,0.005248
98,872.874,1.1025,2.7095,1.40999,0.43839,0.01278,0.01774,0.01202,1.25209,2.8982,1.27455,0.0051985,0.0051985,0.0051985
99,881.877,1.09116,2.63835,1.39681,0.57663,0.01234,0.01807,0.01166,1.3373,2.81961,1.35061,0.005149,0.005149,0.005149
100,890.831,1.08346,2.61391,1.39527,0.55585,0.01228,0.01761,0.01121,1.31585,2.84459,1.35749,0.0050995,0.0050995,0.0050995
101,899.677,1.07634,2.57553,1.39949,0.47332,0.01234,0.01774,0.01189,1.29232,2.83457,1.31804,0.00505,0.00505,0.00505
102,908.589,1.07758,2.58889,1.3866,0.54641,0.01221,0.01767,0.01223,1.30113,2.92734,1.29311,0.0050005,0.0050005,0.0050005
103,917.462,1.07476,2.54433,1.36921,0.47476,0.01291,0.01783,0.01254,1.24732,2.77328,1.27045,0.004951,0.004951,0.004951
104,926.465,1.09312,2.64198,1.3928,0.51013,0.01247,0.01708,0.01086,1.34149,2.88697,1.35846,0.0049015,0.0049015,0.0049015
105,935.518,1.09504,2.68691,1.39943,0.56291,0.01234,0.0176,0.01203,1.25654,2.79768,1.26967,0.004852,0.004852,0.004852
106,944.479,1.09703,2.60684,1.39091,0.58907,0.01222,0.01833,0.01165,1.31569,2.90035,1.3011,0.0048025,0.0048025,0.0048025
107,953.396,1.0729,2.59982,1.3879,0.54418,0.01253,0.01798,0.01167,1.29457,2.84231,1.29579,0.004753,0.004753,0.004753
108,962.161,1.0801,2.62187,1.37283,0.54937,0.01247,0.0181,0.01152,1.31159,2.79059,1.32479,0.0047035,0.0047035,0.0047035
109,971.507,1.07309,2.54578,1.381,0.5243,0.01234,0.01761,0.01185,1.2858,2.76952,1.28545,0.004654,0.004654,0.004654
110,981.029,1.05299,2.53564,1.34654,0.57928,0.01253,0.01811,0.01157,1.28957,2.75073,1.31871,0.0046045,0.0046045,0.0046045
111,990.019,1.05778,2.48498,1.36479,0.6011,0.01234,0.01808,0.01165,1.28767,2.76327,1.30545,0.004555,0.004555,0.004555
112,998.902,1.06773,2.56894,1.37004,0.60434,0.01253,0.01812,0.01183,1.29953,2.76455,1.28506,0.0045055,0.0045055,0.0045055
113,1007.31,1.06438,2.49385,1.35148,0.64638,0.01209,0.0179,0.01119,1.30943,2.84547,1.30377,0.004456,0.004456,0.004456
114,1016.72,1.06107,2.52864,1.36429,0.53906,0.01266,0.01813,0.01233,1.24074,2.68107,1.26395,0.0044065,0.0044065,0.0044065
115,1027.23,1.03469,2.43362,1.34447,0.58632,0.01215,0.01827,0.01169,1.23896,2.72333,1.28277,0.004357,0.004357,0.004357
116,1037.6,1.03629,2.41588,1.34813,0.6139,0.01203,0.01849,0.01195,1.32631,2.70685,1.33108,0.0043075,0.0043075,0.0043075
117,1047.96,1.0422,2.46478,1.35658,0.57871,0.01209,0.01789,0.01167,1.26871,2.80299,1.28408,0.004258,0.004258,0.004258
