epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2437,2.29319,3.66177,2.10672,0.00165,0.00252,0.00044,0.00011,4.82488,inf,101.431,0.0689667,0.00163333,0.00163333
2,20.6285,2.57601,2.46198,1.8589,0.00635,0.00592,0.00129,0.00041,3.87326,261.817,94.7899,0.0372852,0.00328515,0.00328515
3,29.8379,2.55085,2.42311,1.83333,5e-05,0.00019,3e-05,0,5.31737,inf,25.2542,0.00558863,0.00492197,0.00492197
4,38.4894,2.49594,2.37864,1.7779,0.00135,0.00365,0.00068,0.00021,4.30392,214.875,6.35761,0.0049325,0.0049325,0.0049325
5,47.5272,2.44375,2.27138,1.73221,0.00401,0.0056,0.00117,0.00057,3.28217,18.6217,2.16097,0.00491,0.00491,0.00491
6,56.5301,2.36014,2.18789,1.7119,0.04529,0.00926,0.00663,0.00434,2.79109,17.309,1.75226,0.0048875,0.0048875,0.0048875
7,65.5657,2.40152,2.173,1.69777,0.08534,0.01197,0.00998,0.00633,2.78908,4.61879,1.70398,0.004865,0.004865,0.004865
