epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4756,1.1483,2.23048,1.44657,0.00285,0.01077,0.00646,0.00511,2.43471,4.01951,1.98516,0.000653333,0.000653333,0.000653333
2,19.7447,1.49784,2.0228,1.42134,0.17065,0.01197,0.01054,0.00747,2.00091,3.81,1.68842,0.00130693,0.00130693,0.00130693
3,28.847,1.65449,1.93034,1.41355,0.05699,0.0097,0.00695,0.00414,2.63923,7.44231,1.93262,0.00194733,0.00194733,0.00194733
4,37.6574,1.74638,1.8446,1.41728,0.11724,0.01184,0.00946,0.00597,2.42169,3.07188,1.56875,0.0019406,0.0019406,0.0019406
5,46.4342,1.68538,1.74161,1.38494,0.14193,0.01178,0.01067,0.007,2.16421,2.4529,1.46708,0.0019208,0.0019208,0.0019208
6,55.4028,1.62999,1.66454,1.35019,0.17839,0.00901,0.00815,0.00639,2.40144,2.35516,1.46404,0.001901,0.001901,0.001901
7,64.2681,1.68411,1.67631,1.37634,0.10354,0.01064,0.00903,0.00611,2.7047,2.83204,1.79543,0.0018812,0.0018812,0.0018812
8,73.2112,1.59845,1.55954,1.32763,0.33171,0.01222,0.01526,0.00908,2.0233,1.72872,1.34604,0.0018614,0.0018614,0.0018614
9,82.0427,1.55908,1.47882,1.32022,0.29906,0.01052,0.01184,0.00701,2.19599,2.11288,1.42775,0.0018416,0.0018416,0.0018416
10,90.877,1.54021,1.50692,1.3091,0.42226,0.0119,0.01573,0.00979,2.04432,1.78654,1.32039,0.0018218,0.0018218,0.0018218
11,99.6806,1.57022,1.47086,1.33694,0.19902,0.01039,0.01032,0.00665,2.38364,2.38334,1.50437,0.001802,0.001802,0.001802
12,108.467,1.53277,1.41973,1.31184,0.32693,0.01215,0.01416,0.00878,2.069,1.85694,1.35984,0.0017822,0.0017822,0.0017822
13,117.232,1.5357,1.41696,1.29816,0.40497,0.01228,0.01653,0.01076,1.90716,1.58482,1.28209,0.0017624,0.0017624,0.0017624
14,125.807,1.51133,1.38565,1.29079,0.20363,0.00693,0.00739,0.00528,2.75955,3.10676,1.86937,0.0017426,0.0017426,0.0017426
15,134.567,1.51838,1.35144,1.27405,0.39643,0.01178,0.0159,0.00967,1.9453,1.65687,1.30014,0.0017228,0.0017228,0.0017228
16,143.429,1.50221,1.35757,1.2808,0.43666,0.01178,0.01569,0.00984,2.01735,1.63496,1.29267,0.001703,0.001703,0.001703
17,152.313,1.47326,1.34022,1.27478,0.49071,0.01171,0.01648,0.01024,1.96083,1.64266,1.25735,0.0016832,0.0016832,0.0016832
18,161.075,1.50096,1.39641,1.27595,0.59019,0.01102,0.01653,0.01027,1.98125,1.7838,1.35003,0.0016634,0.0016634,0.0016634
19,169.773,1.43829,1.30893,1.24309,0.53023,0.01146,0.01653,0.01086,1.95752,1.62555,1.26575,0.0016436,0.0016436,0.0016436
20,178.334,1.46951,1.29904,1.26381,0.34146,0.01222,0.01639,0.01042,1.98729,1.62559,1.26824,0.0016238,0.0016238,0.0016238
21,187.199,1.446,1.29049,1.24998,0.46472,0.01165,0.01579,0.01038,1.92879,1.5865,1.26055,0.001604,0.001604,0.001604
