epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3903,1.15835,2.2816,1.45986,0.73108,0.00491,0.00826,0.00612,1.49613,3.23851,1.50637,0.000653333,0.000653333,0.000653333
2,20.581,1.42014,1.9963,1.42258,0.12422,0.01045,0.00837,0.00572,2.10264,2.97912,1.75269,0.00130693,0.00130693,0.00130693
3,29.9029,1.67764,1.97247,1.4449,0.15116,0.01184,0.01193,0.00678,2.1462,2.57288,1.62826,0.00194733,0.00194733,0.00194733
4,38.8624,1.71289,1.8614,1.42581,0.24688,0.00573,0.00715,0.00474,3.38975,2.93117,1.93497,0.0019406,0.0019406,0.0019406
5,47.6309,1.68081,1.73904,1.39774,0.15936,0.01071,0.00997,0.00613,2.45823,2.54849,1.60494,0.0019208,0.0019208,0.0019208
6,56.3726,1.63405,1.65829,1.37206,0.30102,0.01197,0.01302,0.0081,2.24288,1.98127,1.44495,0.001901,0.001901,0.001901
