epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,206.278,0.86617,1.39749,0.84093,1.19081,0.83333,0.70755,0.79729,0.62211,0.83333,0.70755,0.79729,0.6353,1.15614,1.99679,1.08353,1.56574,0.0017129,0.0017129,0.0017129
31,214.167,0.85802,1.3363,0.81454,1.19546,0.87612,0.66721,0.78577,0.61278,0.87805,0.67925,0.79209,0.62657,1.03026,1.91185,1.01962,1.47768,0.001703,0.001703,0.001703
32,221.041,0.85044,1.36353,0.81492,1.17575,0.90411,0.62264,0.77731,0.59897,0.90411,0.62264,0.77731,0.61551,1.16102,1.9746,0.94017,1.55899,0.0016931,0.0016931,0.0016931
33,227.432,0.84266,1.37893,0.78245,1.17621,0.90295,0.74528,0.84634,0.6862,0.91438,0.75472,0.85588,0.68835,1.02412,1.69968,0.76581,1.39564,0.0016832,0.0016832,0.0016832
34,233.827,0.84324,1.33647,0.8263,1.1751,0.85704,0.74528,0.82208,0.62831,0.86789,0.75472,0.831,0.66026,1.28167,1.6082,0.99908,1.70309,0.0016733,0.0016733,0.0016733
35,240.387,0.86794,1.33496,0.7899,1.19809,0.89508,0.76415,0.85041,0.68687,0.90213,0.77358,0.85644,0.70884,0.96073,1.73897,0.77521,1.38193,0.0016634,0.0016634,0.0016634
36,246.841,0.82535,1.33765,0.79889,1.16556,0.76596,0.67925,0.75855,0.58254,0.75532,0.66981,0.75306,0.56863,1.20489,2.41735,1.32052,1.5519,0.0016535,0.0016535,0.0016535
37,254.295,0.82147,1.33808,0.76829,1.15792,0.79412,0.76415,0.81258,0.63619,0.79412,0.76415,0.81258,0.6345,0.96492,1.85342,0.88028,1.34872,0.0016436,0.0016436,0.0016436
38,260.818,0.81082,1.32696,0.77632,1.14449,0.88043,0.76415,0.84247,0.66358,0.8913,0.77358,0.85165,0.68919,1.03588,1.67554,0.89533,1.48166,0.0016337,0.0016337,0.0016337
39,267.234,0.82429,1.34455,0.81144,1.16267,0.86651,0.77358,0.84669,0.65826,0.84028,0.79412,0.85704,0.68496,0.80914,1.47271,0.95674,1.23044,0.0016238,0.0016238,0.0016238
40,273.754,0.82692,1.28143,0.79668,1.1564,0.88608,0.66038,0.78729,0.60077,0.89493,0.65094,0.78095,0.61504,1.02656,1.75714,0.97597,1.41216,0.0016139,0.0016139,0.0016139
41,279.921,0.82262,1.25152,0.76544,1.16186,0.86667,0.73585,0.81719,0.6496,0.86667,0.73585,0.81719,0.67947,0.99969,1.70311,0.90854,1.3817,0.001604,0.001604,0.001604
42,286.391,0.81039,1.3032,0.76503,1.14403,0.80543,0.77358,0.82823,0.65568,0.80543,0.77358,0.82823,0.67447,1.08621,1.84167,1.05788,1.43749,0.0015941,0.0015941,0.0015941
43,293.777,0.78168,1.27223,0.74889,1.13999,0.86755,0.73585,0.84146,0.66429,0.87063,0.76191,0.84787,0.68652,1.10251,1.91575,0.93238,1.56458,0.0015842,0.0015842,0.0015842
44,300.056,0.79425,1.23636,0.75468,1.15567,0.89888,0.75472,0.8416,0.69365,0.89888,0.75472,0.8416,0.70525,0.82315,1.60238,0.78913,1.26987,0.0015743,0.0015743,0.0015743
45,306.415,0.76736,1.23494,0.74004,1.11893,0.86,0.81132,0.8694,0.67478,0.86,0.81132,0.8694,0.7043,0.92209,1.52803,0.87161,1.37285,0.0015644,0.0015644,0.0015644
46,312.964,0.79544,1.26072,0.74124,1.13619,0.89865,0.75288,0.83956,0.67695,0.89865,0.75288,0.83956,0.6969,0.94611,1.72089,0.95527,1.35866,0.0015545,0.0015545,0.0015545
47,319.384,0.76999,1.23331,0.72245,1.13508,0.82828,0.77358,0.83721,0.69391,0.82828,0.77358,0.83721,0.70781,0.89145,1.70713,0.89543,1.34066,0.0015446,0.0015446,0.0015446
48,326.179,0.76826,1.27631,0.73149,1.12447,0.88105,0.77358,0.83808,0.66271,0.88105,0.77358,0.83808,0.68755,1.16071,1.98658,0.89566,1.55339,0.0015347,0.0015347,0.0015347
49,333.626,0.78064,1.24431,0.72195,1.13083,0.8624,0.77358,0.8686,0.69732,0.84593,0.82879,0.88182,0.71919,1.04325,1.61271,0.87247,1.48529,0.0015248,0.0015248,0.0015248
50,340.1,0.74112,1.19877,0.70705,1.10781,0.78261,0.84906,0.86213,0.66843,0.7913,0.85849,0.8678,0.69006,0.92957,1.57475,1.09513,1.37778,0.0015149,0.0015149,0.0015149
51,346.646,0.75954,1.21892,0.7321,1.11771,0.8913,0.77358,0.85231,0.6685,0.90217,0.78302,0.85885,0.69706,0.90793,1.60701,0.84112,1.29739,0.001505,0.001505,0.001505
52,353.113,0.77721,1.20348,0.70425,1.13007,0.89583,0.81132,0.87316,0.70012,0.89583,0.81132,0.87327,0.72307,1.08448,1.62325,0.95729,1.43483,0.0014951,0.0014951,0.0014951
53,359.675,0.7439,1.17927,0.69477,1.11875,0.83673,0.77358,0.83226,0.68174,0.83673,0.77358,0.83263,0.68849,0.96831,1.88136,0.92121,1.44909,0.0014852,0.0014852,0.0014852
54,367.83,0.77462,1.17045,0.69376,1.12318,0.89293,0.78678,0.84984,0.66538,0.89293,0.78678,0.84984,0.68946,1.01148,1.85446,0.89372,1.46594,0.0014753,0.0014753,0.0014753
55,374.427,0.74998,1.19017,0.69628,1.10948,0.84955,0.79909,0.85281,0.68847,0.8555,0.81132,0.85808,0.70953,0.91876,1.66641,0.84138,1.38591,0.0014654,0.0014654,0.0014654
56,380.972,0.74783,1.20947,0.68937,1.10359,0.89583,0.81132,0.87334,0.6886,0.89583,0.81132,0.87334,0.70289,0.99392,1.73249,0.83238,1.43709,0.0014555,0.0014555,0.0014555
57,387.327,0.74451,1.2362,0.70446,1.1097,0.86794,0.75472,0.82207,0.63223,0.87168,0.76904,0.83302,0.66657,1.09346,1.74588,1.09675,1.49876,0.0014456,0.0014456,0.0014456
58,393.821,0.75211,1.16325,0.67724,1.11249,0.88043,0.76415,0.84789,0.67759,0.8913,0.77358,0.85466,0.70599,1.04018,1.94688,1.09576,1.47934,0.0014357,0.0014357,0.0014357
59,400.283,0.76026,1.17126,0.7012,1.1173,0.87629,0.80189,0.84782,0.69099,0.87629,0.80189,0.84782,0.70391,0.83992,1.59202,0.92334,1.2881,0.0014258,0.0014258,0.0014258
60,407.987,0.74411,1.15428,0.68944,1.12828,0.87531,0.75472,0.84149,0.67756,0.88625,0.76415,0.8479,0.6851,0.96588,1.86451,0.8547,1.4219,0.0014159,0.0014159,0.0014159
61,414.451,0.724,1.16213,0.68172,1.10301,0.88376,0.79245,0.86638,0.68964,0.87242,0.78302,0.86042,0.69997,1.04229,1.76108,0.91517,1.47671,0.001406,0.001406,0.001406
62,421.252,0.73507,1.19638,0.70177,1.1063,0.85714,0.79245,0.85352,0.69383,0.84694,0.78302,0.84823,0.71854,0.91397,1.98531,0.85535,1.35792,0.0013961,0.0013961,0.0013961
63,428.677,0.73246,1.11969,0.65208,1.10291,0.88903,0.77358,0.86084,0.68069,0.88903,0.77358,0.86084,0.71486,0.94596,1.73323,0.82295,1.34213,0.0013862,0.0013862,0.0013862
64,435.032,0.73489,1.182,0.65353,1.10545,0.88889,0.75472,0.84962,0.68677,0.88889,0.75472,0.84962,0.71288,1.06464,1.81643,0.82265,1.50643,0.0013763,0.0013763,0.0013763
65,441.552,0.73868,1.18894,0.65481,1.09573,0.85714,0.79245,0.86008,0.70959,0.85714,0.79245,0.86008,0.72382,0.82002,1.39237,0.9006,1.26175,0.0013664,0.0013664,0.0013664
66,449.036,0.71347,1.14549,0.63968,1.08542,0.87116,0.78302,0.84433,0.67493,0.87116,0.78302,0.84433,0.70239,1.05042,1.49807,0.88604,1.46707,0.0013565,0.0013565,0.0013565
67,455.507,0.73144,1.17856,0.66849,1.10728,0.85891,0.74659,0.82819,0.66352,0.83063,0.78302,0.83894,0.67313,0.98485,2.01893,0.89564,1.45915,0.0013466,0.0013466,0.0013466
68,461.892,0.74466,1.16744,0.65197,1.11298,0.91954,0.75472,0.8534,0.70255,0.93103,0.76415,0.86023,0.71307,0.99427,1.79097,0.7275,1.44035,0.0013367,0.0013367,0.0013367
69,468.203,0.71521,1.18159,0.65223,1.08696,0.94424,0.74528,0.84978,0.67536,0.94424,0.74528,0.84978,0.70234,0.89174,1.59398,0.96828,1.35648,0.0013268,0.0013268,0.0013268
70,474.536,0.71022,1.11027,0.6398,1.08419,0.88807,0.75472,0.8401,0.67501,0.87517,0.74528,0.83302,0.67325,0.96697,1.72214,0.85749,1.46666,0.0013169,0.0013169,0.0013169
71,481.527,0.71152,1.11729,0.62245,1.09003,0.85294,0.82075,0.86875,0.68626,0.85294,0.82075,0.86875,0.70447,1.13687,1.9868,0.90376,1.55226,0.001307,0.001307,0.001307
72,488.841,0.7011,1.10293,0.62032,1.07471,0.87593,0.73585,0.84054,0.68439,0.87593,0.73585,0.84553,0.7033,0.99136,2.19904,0.81432,1.40241,0.0012971,0.0012971,0.0012971
73,496.259,0.73162,1.15343,0.64211,1.10298,0.84783,0.73585,0.8283,0.66947,0.84783,0.73585,0.8283,0.68494,0.88247,1.5528,0.90294,1.31786,0.0012872,0.0012872,0.0012872
74,502.65,0.68129,1.10488,0.62023,1.07541,0.84961,0.75472,0.83724,0.66588,0.86316,0.77358,0.84913,0.69351,1.01248,1.70856,0.94104,1.53518,0.0012773,0.0012773,0.0012773
75,508.953,0.7113,1.11887,0.62231,1.09303,0.92045,0.76415,0.85864,0.68378,0.92045,0.76415,0.85864,0.69967,0.96387,1.62362,0.86514,1.44537,0.0012674,0.0012674,0.0012674
76,515.386,0.70175,1.09083,0.59308,1.08388,0.87629,0.80189,0.85988,0.69083,0.87629,0.80189,0.85988,0.71176,0.96021,1.86484,0.73148,1.39188,0.0012575,0.0012575,0.0012575
77,523.177,0.70411,1.10956,0.61934,1.09151,0.88542,0.80189,0.87036,0.68891,0.88542,0.80189,0.87036,0.70671,1.00931,1.62088,0.84843,1.43526,0.0012476,0.0012476,0.0012476
78,529.649,0.72708,1.1008,0.62999,1.08523,0.89727,0.78302,0.85564,0.67261,0.90012,0.79245,0.86165,0.69791,0.93321,1.83051,0.86044,1.44433,0.0012377,0.0012377,0.0012377
79,535.957,0.7228,1.12656,0.64741,1.09983,0.90805,0.74528,0.84915,0.71245,0.91954,0.75472,0.85497,0.71531,0.86737,1.70987,0.85137,1.31522,0.0012278,0.0012278,0.0012278
80,542.464,0.70046,1.1458,0.62892,1.07555,0.84893,0.80189,0.87384,0.7044,0.84893,0.80189,0.87384,0.72839,1.0273,1.81287,1.05219,1.45929,0.0012179,0.0012179,0.0012179
81,548.881,0.68476,1.1041,0.6104,1.07684,0.86797,0.78302,0.85928,0.6775,0.86797,0.78302,0.85928,0.70048,0.96154,1.80223,0.75369,1.40628,0.001208,0.001208,0.001208
82,555.42,0.68664,1.11379,0.61002,1.07303,0.82524,0.80189,0.85499,0.6711,0.82524,0.80189,0.85167,0.68882,0.95756,1.79735,0.8305,1.49693,0.0011981,0.0011981,0.0011981
83,563.144,0.70052,1.11736,0.59517,1.0775,0.84436,0.7677,0.84867,0.70051,0.84383,0.80189,0.85982,0.72156,0.90965,1.56992,1.00244,1.37806,0.0011882,0.0011882,0.0011882
84,569.579,0.68435,1.09941,0.59417,1.06494,0.87549,0.74528,0.84087,0.69926,0.83838,0.78302,0.84674,0.72222,0.86564,1.75279,0.7581,1.31487,0.0011783,0.0011783,0.0011783
85,576.146,0.68487,1.07075,0.58999,1.07023,0.87738,0.78302,0.86543,0.70712,0.87738,0.78302,0.86543,0.72183,0.9697,1.69509,0.84724,1.48821,0.0011684,0.0011684,0.0011684
86,583.787,0.69132,1.12617,0.60712,1.0803,0.85624,0.78302,0.83308,0.66699,0.86362,0.79245,0.83847,0.68097,1.00641,1.80932,0.9906,1.49928,0.0011585,0.0011585,0.0011585
87,590.312,0.69425,1.13884,0.62657,1.0703,0.86142,0.81132,0.87169,0.7164,0.86142,0.81132,0.87169,0.73085,0.94025,1.78664,0.95948,1.41239,0.0011486,0.0011486,0.0011486
88,597.553,0.69509,1.07733,0.60384,1.09182,0.92391,0.80189,0.88179,0.70945,0.92391,0.80189,0.88179,0.73398,0.93906,1.87531,0.65907,1.42879,0.0011387,0.0011387,0.0011387
89,604.678,0.67037,1.0363,0.56522,1.06473,0.87629,0.80189,0.86306,0.69983,0.8866,0.81132,0.86914,0.72076,1.03594,1.71837,0.93344,1.49958,0.0011288,0.0011288,0.0011288
90,611.218,0.65135,1.0384,0.56541,1.0477,0.8932,0.83962,0.89238,0.7094,0.90201,0.82075,0.8872,0.72414,0.84679,1.93713,0.69133,1.34254,0.0011189,0.0011189,0.0011189
91,617.807,0.67703,1.05851,0.58235,1.06502,0.88319,0.76415,0.83805,0.69318,0.89505,0.77358,0.84458,0.70927,0.99701,1.75473,0.76173,1.43076,0.001109,0.001109,0.001109
92,623.856,0.67602,1.05873,0.56124,1.07918,0.85149,0.81132,0.86812,0.67417,0.85149,0.81132,0.86812,0.70135,1.03107,1.75007,0.95829,1.53344,0.0010991,0.0010991,0.0010991
93,630.434,0.66023,1.04646,0.55829,1.0495,0.896,0.78302,0.85988,0.68699,0.88491,0.77358,0.85278,0.70433,0.98117,1.92041,0.85678,1.46016,0.0010892,0.0010892,0.0010892
94,637.968,0.67044,1.04859,0.55877,1.06305,0.90005,0.79245,0.86627,0.71484,0.90005,0.79245,0.86627,0.73579,0.82406,1.94798,0.73165,1.34659,0.0010793,0.0010793,0.0010793
95,644.921,0.66305,1.06482,0.57271,1.05765,0.91349,0.78302,0.87169,0.71248,0.91349,0.78302,0.87169,0.73168,0.93366,1.6794,0.87355,1.45697,0.0010694,0.0010694,0.0010694
96,652.317,0.66355,1.05047,0.57511,1.05379,0.83495,0.81132,0.8597,0.69471,0.83495,0.81132,0.8597,0.71687,0.93706,1.70589,0.84349,1.41737,0.0010595,0.0010595,0.0010595
97,658.773,0.64245,1.02174,0.53769,1.053,0.8777,0.74528,0.84304,0.6875,0.8777,0.74528,0.84304,0.70891,0.9463,1.95669,1.01456,1.43687,0.0010496,0.0010496,0.0010496
98,665.214,0.64519,1.02707,0.54705,1.05191,0.875,0.79245,0.86203,0.69368,0.875,0.79245,0.86203,0.71261,0.96397,1.58586,0.99774,1.43378,0.0010397,0.0010397,0.0010397
99,671.934,0.64068,1.03125,0.53996,1.03989,0.78391,0.77358,0.83398,0.68788,0.78391,0.77358,0.83398,0.69666,0.87947,1.72325,1.05767,1.34756,0.0010298,0.0010298,0.0010298
100,679.373,0.65135,1.06579,0.55049,1.04753,0.90098,0.80189,0.8701,0.7037,0.90098,0.80189,0.8701,0.71611,0.94583,2.11122,0.82857,1.46086,0.0010199,0.0010199,0.0010199
101,685.853,0.62658,1.02231,0.532,1.04415,0.91067,0.76944,0.86575,0.71263,0.91067,0.76944,0.86575,0.72602,0.91542,1.9824,0.90784,1.4223,0.00101,0.00101,0.00101
102,692.288,0.67192,1.07812,0.56901,1.06311,0.86312,0.79245,0.86111,0.69291,0.87192,0.80189,0.86653,0.71388,0.96517,1.58454,0.90705,1.4328,0.0010001,0.0010001,0.0010001
103,698.595,0.64028,1.01668,0.53733,1.05504,0.91565,0.80189,0.87152,0.71542,0.91565,0.80189,0.87152,0.73614,0.87863,1.67259,0.77305,1.38304,0.0009902,0.0009902,0.0009902
