epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.75769,1.09888,2.04697,1.41334,0.76924,0.12592,0.2718,0.12034,1.97568,2.88383,2.56661,0.06766,0.000326667,0.000326667
2,10.4109,1.1083,1.47405,1.40137,0.65365,0.53416,0.57727,0.3388,1.29849,2.28423,1.78828,0.0346535,0.000653466,0.000653466
3,14.9041,1.09834,1.34529,1.40936,0.3539,0.42453,0.30575,0.14578,1.72476,2.84227,2.32892,0.00164033,0.000973665,0.000973665
4,19.0402,1.07702,1.27872,1.39181,0.63226,0.61321,0.61736,0.38064,1.39916,2.03364,1.80028,0.0009703,0.0009703,0.0009703
