epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,459.422,2.01946,2.18167,2.3505,0.00222,0.00409,0.00114,0.00039,1.76933,2.07269,2.19963,1.44161e-05,1.44161e-05,1.44161e-05
40,471.016,1.99212,2.19095,2.33781,0.00262,0.00416,0.00136,0.00045,1.72956,1.99164,2.17275,1.23596e-05,1.23596e-05,1.23596e-05
41,482.606,1.73966,2.15203,2.24154,0.00332,0.00378,0.00171,0.00055,1.72525,1.90511,2.15712,1.04537e-05,1.04537e-05,1.04537e-05
42,493.577,1.73631,2.07301,2.23747,0.00388,0.00372,0.00199,0.00063,1.72699,1.88658,2.15174,8.70577e-06,8.70577e-06,8.70577e-06
43,505.089,1.6999,2.02602,2.19931,0.00383,0.00397,0.00197,0.00064,1.71599,1.88438,2.13796,7.12282e-06,7.12282e-06,7.12282e-06
44,515.915,1.72232,2.01166,2.21494,0.00404,0.00403,0.00208,0.00065,1.71636,1.88044,2.13567,5.71106e-06,5.71106e-06,5.71106e-06
45,526.522,1.70949,1.96828,2.20085,0.00381,0.00372,0.00196,0.00063,1.70173,1.8552,2.12048,4.47606e-06,4.47606e-06,4.47606e-06
46,537.094,1.71948,2.0016,2.22106,0.00381,0.00372,0.00196,0.00065,1.69924,1.86075,2.11883,3.4227e-06,3.4227e-06,3.4227e-06
47,547.735,1.7272,2.01208,2.22171,0.00397,0.00384,0.00205,0.00065,1.69751,1.86336,2.11854,2.55513e-06,2.55513e-06,2.55513e-06
48,559.035,1.73485,2.0066,2.23131,0.00375,0.00365,0.00194,0.00061,1.6933,1.86125,2.11764,1.87678e-06,1.87678e-06,1.87678e-06
49,569.436,1.7333,2.00013,2.21623,0.00387,0.00384,0.00199,0.00062,1.68664,1.85612,2.10932,1.39032e-06,1.39032e-06,1.39032e-06
50,579.792,1.70969,1.99711,2.22067,0.00385,0.00384,0.00199,0.00063,1.68508,1.84774,2.10775,1.09768e-06,1.09768e-06,1.09768e-06
