epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6293,1.57309,8.06009,2.29919,0,0,0,0,nan,nan,nan,0.0706,0.00326667,0.00326667
2,19.7743,1.70027,5.30969,2.07693,0.00059,6e-05,0.00022,2e-05,nan,nan,nan,0.0405673,0.00656733,0.00656733
3,28.785,1.63456,4.97462,1.93901,0.01932,0.00548,0.00271,0.00115,2.16334,43.472,4.14598,0.0105017,0.00983499,0.00983499
4,38.1696,1.56089,4.76568,1.87048,0.018,0.01033,0.00246,0.00108,2.03703,172.317,2.06132,0.0098515,0.0098515,0.0098515
