epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83399,1.13963,2.4635,1.45066,0.46287,0.00838,0.00931,0.0066,1.55234,3.05901,1.63529,0.000653333,0.000653333,0.000653333
2,16.4483,1.55351,2.11453,1.44956,0.14616,0.01089,0.00873,0.00523,2.07975,3.1616,1.64043,0.00130693,0.00130693,0.00130693
3,24.0016,1.68077,1.98621,1.42065,0.06906,0.01008,0.00773,0.00558,2.3301,4.00804,1.79132,0.00194733,0.00194733,0.00194733
4,31.2601,1.73501,1.88172,1.44298,0.10359,0.01152,0.00977,0.00646,2.24513,3.57521,1.59607,0.0019406,0.0019406,0.0019406
5,38.3581,1.67539,1.76868,1.3919,0.13965,0.01152,0.01063,0.00701,2.2161,2.79254,1.46562,0.0019208,0.0019208,0.0019208
6,45.5303,1.68627,1.7052,1.38819,0.17227,0.01171,0.01148,0.00698,2.27566,2.31221,1.62045,0.001901,0.001901,0.001901
7,52.6565,1.72414,1.72146,1.39145,0.10635,0.00964,0.00847,0.00548,2.35387,2.98529,1.66714,0.0018812,0.0018812,0.0018812
8,59.7459,1.58717,1.55507,1.31569,0.27012,0.01215,0.01425,0.00866,2.03216,1.90893,1.37203,0.0018614,0.0018614,0.0018614
9,66.7459,1.57635,1.48258,1.32512,0.26675,0.01197,0.01398,0.00828,2.07578,1.84098,1.3892,0.0018416,0.0018416,0.0018416
10,73.8227,1.57205,1.49548,1.32917,0.21135,0.01222,0.01429,0.00799,1.95098,1.93343,1.34093,0.0018218,0.0018218,0.0018218
11,80.8139,1.55863,1.47515,1.33013,0.30004,0.01197,0.01496,0.00879,1.95792,1.6984,1.30604,0.001802,0.001802,0.001802
12,87.9339,1.54481,1.44407,1.29726,0.28862,0.01052,0.01278,0.0079,2.19625,2.06753,1.44977,0.0017822,0.0017822,0.0017822
13,94.9786,1.54747,1.42741,1.30305,0.47204,0.01171,0.01593,0.01016,2.07247,1.77253,1.33513,0.0017624,0.0017624,0.0017624
14,102.072,1.54301,1.44022,1.31023,0.39292,0.01215,0.01566,0.00981,2.07155,1.69375,1.32844,0.0017426,0.0017426,0.0017426
15,109.044,1.51614,1.36061,1.29063,0.49551,0.01058,0.01452,0.0087,2.17197,1.9035,1.40425,0.0017228,0.0017228,0.0017228
16,116.063,1.5208,1.39559,1.30323,0.44744,0.01197,0.0148,0.0092,2.17792,1.79548,1.39591,0.001703,0.001703,0.001703
17,123.13,1.4797,1.34238,1.27959,0.16817,0.00951,0.00873,0.00652,2.44239,2.66408,1.5899,0.0016832,0.0016832,0.0016832
18,130.125,1.51917,1.36768,1.29302,0.42859,0.01083,0.01475,0.00939,2.10059,1.89154,1.34433,0.0016634,0.0016634,0.0016634
19,137.149,1.47892,1.31347,1.26149,0.45038,0.01228,0.01639,0.01046,2.00183,1.58797,1.32742,0.0016436,0.0016436,0.0016436
20,144.367,1.48315,1.34189,1.2814,0.27024,0.01209,0.01584,0.00939,2.02601,1.73223,1.35564,0.0016238,0.0016238,0.0016238
21,151.368,1.4657,1.31178,1.27605,0.43697,0.0119,0.01623,0.01004,1.97895,1.59631,1.3115,0.001604,0.001604,0.001604
22,158.42,1.4264,1.27664,1.2538,0.56465,0.01171,0.01782,0.01137,1.85911,1.53647,1.20323,0.0015842,0.0015842,0.0015842
23,165.411,1.38221,1.21528,1.22448,0.48129,0.01234,0.01781,0.01137,1.90503,1.41448,1.24962,0.0015644,0.0015644,0.0015644
24,172.47,1.44573,1.24289,1.25555,0.46376,0.01203,0.01704,0.01085,1.94287,1.58094,1.27315,0.0015446,0.0015446,0.0015446
25,179.441,1.43362,1.26024,1.24384,0.44079,0.01222,0.0171,0.01071,1.90159,1.46875,1.25937,0.0015248,0.0015248,0.0015248
26,186.458,1.42958,1.25564,1.26668,0.44674,0.01184,0.01646,0.01044,1.87858,1.59265,1.27197,0.001505,0.001505,0.001505
27,193.531,1.44196,1.25796,1.24377,0.42634,0.01222,0.01681,0.01083,1.86585,1.49879,1.24092,0.0014852,0.0014852,0.0014852
28,200.579,1.41269,1.20876,1.24183,0.61918,0.01178,0.01875,0.01211,1.87354,1.44923,1.24366,0.0014654,0.0014654,0.0014654
29,207.629,1.4003,1.19704,1.22627,0.46851,0.01209,0.01658,0.01073,1.9318,1.58162,1.24615,0.0014456,0.0014456,0.0014456
30,214.686,1.40502,1.22649,1.23548,0.53811,0.01247,0.01771,0.01188,1.84459,1.41017,1.23709,0.0014258,0.0014258,0.0014258
31,221.713,1.38042,1.17722,1.21909,0.6477,0.01247,0.01784,0.01119,1.86215,1.41593,1.25413,0.001406,0.001406,0.001406
32,228.837,1.37592,1.18903,1.22537,0.56864,0.0119,0.01738,0.01116,1.88375,1.50401,1.2337,0.0013862,0.0013862,0.0013862
33,235.986,1.38695,1.19071,1.20737,0.55704,0.01203,0.01757,0.01121,1.8995,1.43152,1.29131,0.0013664,0.0013664,0.0013664
34,243.152,1.36088,1.14851,1.22031,0.54939,0.01234,0.01839,0.01194,1.84189,1.39747,1.2444,0.0013466,0.0013466,0.0013466
35,250.179,1.3398,1.12468,1.19443,0.60743,0.0119,0.01767,0.01088,1.95598,1.43672,1.27541,0.0013268,0.0013268,0.0013268
36,257.272,1.38967,1.17836,1.21247,0.56178,0.01209,0.01746,0.01155,1.84801,1.42353,1.23105,0.001307,0.001307,0.001307
37,263.857,1.36296,1.15658,1.21169,0.52692,0.0126,0.01787,0.01232,1.81695,1.36764,1.17865,0.0012872,0.0012872,0.0012872
38,271.002,1.31642,1.10512,1.18791,0.45578,0.01184,0.01693,0.01098,1.91705,1.58115,1.24952,0.0012674,0.0012674,0.0012674
39,278.092,1.33341,1.10981,1.19239,0.51766,0.01272,0.01827,0.01259,1.79104,1.32304,1.23909,0.0012476,0.0012476,0.0012476
40,284.684,1.33921,1.09507,1.19497,0.54169,0.01222,0.01831,0.01226,1.78829,1.33437,1.19601,0.0012278,0.0012278,0.0012278
