epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,191.476,0.76326,0.72513,1.16448,0.8589,0.78302,0.83487,0.6299,0.95546,0.82858,1.38442,0.0005941,0.0005941,0.0005941
43,195.926,0.73351,0.67835,1.149,0.8446,0.72642,0.83447,0.63012,0.88353,0.95983,1.31388,0.0005842,0.0005842,0.0005842
44,200.127,0.7835,0.67908,1.19663,0.85153,0.77358,0.85452,0.66316,0.85629,0.73343,1.30472,0.0005743,0.0005743,0.0005743
45,204.471,0.74844,0.67667,1.14822,0.94296,0.77976,0.85939,0.67047,0.95316,0.80998,1.33592,0.0005644,0.0005644,0.0005644
46,209.192,0.765,0.68818,1.15369,0.87852,0.73585,0.84725,0.63139,0.92741,0.98535,1.33058,0.0005545,0.0005545,0.0005545
47,213.676,0.72417,0.66862,1.1374,0.84055,0.76415,0.78587,0.58565,0.89583,1.01804,1.3417,0.0005446,0.0005446,0.0005446
48,218.114,0.73996,0.67603,1.15977,0.86683,0.79831,0.86501,0.65013,0.91492,1.01879,1.33721,0.0005347,0.0005347,0.0005347
49,222.636,0.73277,0.65347,1.1435,0.84128,0.80006,0.83357,0.65199,1.08952,0.91433,1.51638,0.0005248,0.0005248,0.0005248
50,227.225,0.70851,0.65563,1.13413,0.8899,0.79245,0.85629,0.64952,0.89178,0.85072,1.39161,0.0005149,0.0005149,0.0005149
51,231.808,0.71431,0.6367,1.13483,0.81669,0.79858,0.83444,0.62324,0.97462,1.11843,1.39778,0.000505,0.000505,0.000505
52,236.454,0.71434,0.62458,1.134,0.77551,0.81477,0.84884,0.68005,0.89713,0.94509,1.4093,0.0004951,0.0004951,0.0004951
53,241.014,0.70556,0.64791,1.13738,0.85361,0.77019,0.83039,0.63578,0.86888,0.90329,1.36921,0.0004852,0.0004852,0.0004852
54,245.479,0.71111,0.63496,1.13346,0.86042,0.75472,0.83155,0.65875,0.86136,0.96641,1.29185,0.0004753,0.0004753,0.0004753
55,250.096,0.70863,0.6284,1.13503,0.82236,0.82979,0.8544,0.65516,0.75355,0.86391,1.21462,0.0004654,0.0004654,0.0004654
56,254.688,0.69167,0.62652,1.119,0.84246,0.75676,0.81518,0.62114,0.93303,0.87849,1.34084,0.0004555,0.0004555,0.0004555
57,259.264,0.69533,0.62394,1.12285,0.84388,0.76491,0.85,0.66587,0.81015,0.97557,1.24101,0.0004456,0.0004456,0.0004456
58,263.745,0.69312,0.61,1.11909,0.86659,0.77358,0.86103,0.68026,0.81973,0.82721,1.30227,0.0004357,0.0004357,0.0004357
59,268.343,0.68825,0.60678,1.11708,0.90799,0.76415,0.84871,0.6626,0.7775,0.85405,1.23579,0.0004258,0.0004258,0.0004258
60,272.94,0.67845,0.58618,1.14048,0.85332,0.82327,0.86138,0.67515,0.95555,0.78391,1.42483,0.0004159,0.0004159,0.0004159
61,277.119,0.67485,0.61219,1.11546,0.89507,0.83019,0.88576,0.69546,0.89798,0.69543,1.4209,0.000406,0.000406,0.000406
62,281.701,0.67563,0.58994,1.12187,0.86596,0.79235,0.85839,0.66881,0.93903,0.90659,1.4292,0.0003961,0.0003961,0.0003961
63,286.223,0.67793,0.58035,1.10883,0.89369,0.79309,0.84307,0.68178,0.92806,0.98367,1.34245,0.0003862,0.0003862,0.0003862
64,290.702,0.68924,0.59239,1.13065,0.87654,0.80374,0.86235,0.66363,0.80583,0.96602,1.27304,0.0003763,0.0003763,0.0003763
65,295.253,0.69435,0.60576,1.1193,0.90298,0.79023,0.85603,0.6697,0.72864,0.84097,1.19828,0.0003664,0.0003664,0.0003664
66,299.761,0.67834,0.58047,1.11311,0.82073,0.82062,0.86503,0.70652,0.71434,0.7053,1.17544,0.0003565,0.0003565,0.0003565
67,304.332,0.65622,0.56017,1.11052,0.87467,0.79008,0.83964,0.68666,0.74737,0.75134,1.18959,0.0003466,0.0003466,0.0003466
68,308.709,0.65845,0.55626,1.09953,0.90995,0.76262,0.85674,0.69349,0.76577,0.6689,1.21779,0.0003367,0.0003367,0.0003367
69,313.077,0.66581,0.56974,1.10441,0.84231,0.85669,0.87091,0.6948,0.9717,0.72236,1.44741,0.0003268,0.0003268,0.0003268
70,317.589,0.6564,0.55174,1.10035,0.8752,0.79394,0.86501,0.68798,0.83747,0.90226,1.30352,0.0003169,0.0003169,0.0003169
71,322.128,0.64351,0.53831,1.08963,0.87743,0.8104,0.85557,0.67797,0.69636,0.84952,1.18106,0.000307,0.000307,0.000307
72,326.701,0.65999,0.57733,1.10372,0.87363,0.81132,0.85043,0.67302,0.89351,0.92079,1.34259,0.0002971,0.0002971,0.0002971
73,331.223,0.65531,0.55938,1.10623,0.83306,0.84742,0.86446,0.69934,0.70645,0.8495,1.19335,0.0002872,0.0002872,0.0002872
74,335.802,0.61689,0.54966,1.07896,0.88414,0.79188,0.85487,0.67055,0.77704,0.83103,1.266,0.0002773,0.0002773,0.0002773
75,340.249,0.64899,0.5392,1.10323,0.87394,0.81132,0.85681,0.6971,0.71917,0.77143,1.20176,0.0002674,0.0002674,0.0002674
76,344.825,0.63494,0.53774,1.091,0.86692,0.80189,0.83603,0.68462,0.71099,0.84181,1.20699,0.0002575,0.0002575,0.0002575
77,349.308,0.63852,0.51857,1.10477,0.86163,0.76367,0.83141,0.67726,0.72559,0.85719,1.19297,0.0002476,0.0002476,0.0002476
78,353.658,0.62928,0.53102,1.07791,0.85662,0.82075,0.87028,0.69867,0.69749,0.85254,1.21561,0.0002377,0.0002377,0.0002377
79,358.102,0.64361,0.53224,1.08894,0.86655,0.79638,0.84229,0.68246,0.81319,0.98857,1.31054,0.0002278,0.0002278,0.0002278
80,362.627,0.6412,0.52396,1.09442,0.82712,0.81246,0.84388,0.66947,0.95865,0.96272,1.3961,0.0002179,0.0002179,0.0002179
81,366.906,0.59707,0.51123,1.06246,0.87908,0.74528,0.84699,0.67402,0.73028,0.81098,1.22913,0.000208,0.000208,0.000208
82,371.386,0.61906,0.52909,1.0795,0.87638,0.77358,0.85669,0.69108,0.82255,0.99101,1.26819,0.0001981,0.0001981,0.0001981
83,375.882,0.61337,0.51209,1.07186,0.87547,0.78302,0.85711,0.68287,0.82436,0.8733,1.31399,0.0001882,0.0001882,0.0001882
84,380.406,0.60409,0.51433,1.0649,0.82066,0.82075,0.86527,0.68465,0.81155,0.90668,1.30822,0.0001783,0.0001783,0.0001783
85,385.224,0.59564,0.4958,1.06971,0.86219,0.80189,0.84421,0.67646,0.76251,1.03789,1.21128,0.0001684,0.0001684,0.0001684
86,390.235,0.59317,0.48433,1.07099,0.83007,0.83019,0.82479,0.6603,0.72685,0.84217,1.20685,0.0001585,0.0001585,0.0001585
87,394.722,0.61081,0.50702,1.0702,0.8498,0.80062,0.83082,0.66436,0.83768,0.99637,1.32724,0.0001486,0.0001486,0.0001486
88,399.273,0.59687,0.49006,1.07872,0.87414,0.81132,0.85816,0.70055,0.90641,0.9453,1.34991,0.0001387,0.0001387,0.0001387
89,403.825,0.57291,0.45771,1.05369,0.92103,0.77023,0.86253,0.69645,0.7323,0.91516,1.21291,0.0001288,0.0001288,0.0001288
90,408.2,0.56585,0.45824,1.03956,0.90843,0.77358,0.85886,0.69507,0.70421,0.86043,1.18072,0.0001189,0.0001189,0.0001189
91,413.752,0.46072,0.36512,0.96895,0.82157,0.81132,0.84208,0.69119,0.6912,0.77726,1.16943,0.000109,0.000109,0.000109
92,418.332,0.44032,0.31312,0.94592,0.88276,0.78139,0.84072,0.68827,0.7346,0.89771,1.20862,9.91e-05,9.91e-05,9.91e-05
93,422.857,0.4376,0.29807,0.9566,0.84422,0.83019,0.84356,0.6927,0.73917,0.94327,1.22713,8.92e-05,8.92e-05,8.92e-05
94,427.368,0.42263,0.3006,0.93713,0.8714,0.80189,0.84859,0.69597,0.70892,0.89798,1.18487,7.93e-05,7.93e-05,7.93e-05
95,431.909,0.42868,0.29745,0.93842,0.88509,0.79936,0.84878,0.68981,0.69296,0.83962,1.18355,6.94e-05,6.94e-05,6.94e-05
96,436.574,0.43803,0.29178,0.94248,0.86805,0.80685,0.85159,0.67601,0.68988,0.79213,1.18446,5.95e-05,5.95e-05,5.95e-05
97,440.88,0.41749,0.28271,0.93389,0.88904,0.78302,0.85484,0.6839,0.68235,0.80033,1.17879,4.96e-05,4.96e-05,4.96e-05
98,444.923,0.42222,0.28248,0.93289,0.84872,0.84683,0.86006,0.697,0.67358,0.75533,1.17145,3.97e-05,3.97e-05,3.97e-05
99,449.227,0.41981,0.2786,0.9391,0.86306,0.83962,0.86413,0.69796,0.65149,0.75925,1.15105,2.98e-05,2.98e-05,2.98e-05
100,453.736,0.40598,0.26894,0.92152,0.85724,0.83962,0.86463,0.70204,0.65771,0.76448,1.1544,1.99e-05,1.99e-05,1.99e-05
